"batsman","bowler","P0","P1","P2","P3","P4","P6"
"A Ashish Reddy","A Nehra",0.555555555555556,0.333333333333333,0,0,0.111111111111111,0
"A Ashish Reddy","AB Dinda",0.142857142857143,0.714285714285714,0,0,0.142857142857143,0
"A Ashish Reddy","AD Mathews",0.166666666666667,0.416666666666667,0.166666666666667,0,0.0833333333333333,0.166666666666667
"A Ashish Reddy","AD Russell",0,0.666666666666667,0.333333333333333,0,0,0
"A Ashish Reddy","Anureet Singh",0,1,0,0,0,0
"A Ashish Reddy","Azhar Mahmood",0.333333333333333,0.666666666666667,0,0,0,0
"A Ashish Reddy","B Kumar",0,1,0,0,0,0
"A Ashish Reddy","BW Hilfenhaus",0.5,0,0.5,0,0,0
"A Ashish Reddy","CH Morris",0.2,0.4,0,0.2,0,0.2
"A Ashish Reddy","DJ Bravo",0.307692307692308,0.307692307692308,0.0769230769230769,0,0.230769230769231,0.0769230769230769
"A Ashish Reddy","Harbhajan Singh",0.375,0.375,0.125,0,0,0.125
"A Ashish Reddy","Imran Tahir",0,1,0,0,0,0
"A Ashish Reddy","J Botha",1,0,0,0,0,0
"A Ashish Reddy","JEC Franklin",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"A Ashish Reddy","JP Duminy",0,1,0,0,0,0
"A Ashish Reddy","JP Faulkner",0.5,0,0.5,0,0,0
"A Ashish Reddy","KA Pollard",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"A Ashish Reddy","KK Cooper",0.2,0.4,0.2,0,0.2,0
"A Ashish Reddy","M Kartik",0.375,0.5,0.125,0,0,0
"A Ashish Reddy","M Morkel",0.2,0.6,0.2,0,0,0
"A Ashish Reddy","MG Johnson",0,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"A Ashish Reddy","MM Patel",1,0,0,0,0,0
"A Ashish Reddy","MM Sharma",0,0.5,0,0,0,0.5
"A Ashish Reddy","MR Marsh",0,1,0,0,0,0
"A Ashish Reddy","MS Gony",0.5,0.25,0,0,0.25,0
"A Ashish Reddy","NM Coulter-Nile",1,0,0,0,0,0
"A Ashish Reddy","P Awana",1,0,0,0,0,0
"A Ashish Reddy","P Kumar",0.25,0.5,0,0,0.25,0
"A Ashish Reddy","Parvez Rasool",0.222222222222222,0.444444444444444,0,0,0.222222222222222,0.111111111111111
"A Ashish Reddy","PP Chawla",0,1,0,0,0,0
"A Ashish Reddy","PV Tambe",0.25,0.75,0,0,0,0
"A Ashish Reddy","R Vinay Kumar",0.272727272727273,0.545454545454545,0.0909090909090909,0,0,0.0909090909090909
"A Ashish Reddy","RJ Peterson",0.6,0.2,0,0,0,0.2
"A Ashish Reddy","RP Singh",0.5,0.5,0,0,0,0
"A Ashish Reddy","Sandeep Sharma",0,0.333333333333333,0,0,0,0.666666666666667
"A Ashish Reddy","SL Malinga",0.5,0.25,0.25,0,0,0
"A Ashish Reddy","SMSM Senanayake",0.5,0.25,0.25,0,0,0
"A Ashish Reddy","SP Narine",0,1,0,0,0,0
"A Ashish Reddy","SR Watson",0.4,0.6,0,0,0,0
"A Ashish Reddy","STR Binny",0.25,0.5,0.25,0,0,0
"A Ashish Reddy","SW Tait",0.25,0,0.25,0,0.5,0
"A Ashish Reddy","TG Southee",0.25,0.25,0.25,0,0,0.25
"A Ashish Reddy","UT Yadav",0.2,0.4,0.1,0,0.2,0.1
"A Ashish Reddy","YS Chahal",0.571428571428571,0.142857142857143,0,0,0,0.285714285714286
"A Chandila","R Rampaul",0.5,0.5,0,0,0,0
"A Chandila","R Vinay Kumar",0.5,0.5,0,0,0,0
"A Chandila","RP Singh",0,1,0,0,0,0
"A Chandila","V Pratap Singh",1,0,0,0,0,0
"A Chopra","DP Vijaykumar",0.8,0.2,0,0,0,0
"A Chopra","DW Steyn",0.75,0.25,0,0,0,0
"A Chopra","GD McGrath",0.5,0.5,0,0,0,0
"A Chopra","Harmeet Singh",0.875,0,0,0,0.125,0
"A Chopra","JR Hopes",0.5,0.5,0,0,0,0
"A Chopra","PJ Sangwan",0.7,0.2,0,0,0.1,0
"A Chopra","PP Chawla",0,1,0,0,0,0
"A Chopra","PP Ojha",0.5,0.5,0,0,0,0
"A Chopra","RP Singh",0.166666666666667,0.5,0.166666666666667,0,0.166666666666667,0
"A Chopra","SB Bangar",0.25,0.25,0,0,0.5,0
"A Chopra","SB Styris",0.714285714285714,0.142857142857143,0,0,0.142857142857143,0
"A Chopra","SM Pollock",0.75,0.25,0,0,0,0
"A Chopra","VY Mahesh",0.5,0.25,0,0,0.25,0
"A Chopra","WPUJC Vaas",0.5,0.5,0,0,0,0
"A Chopra","Y Venugopal Rao",0.714285714285714,0.142857142857143,0.142857142857143,0,0,0
"A Chopra","Z Khan",0,1,0,0,0,0
"A Choudhary","AJ Tye",0.333333333333333,0.666666666666667,0,0,0,0
"A Choudhary","AR Patel",0,1,0,0,0,0
"A Choudhary","Basil Thampi",0,0.5,0.25,0,0.25,0
"A Choudhary","BCJ Cutting",0.5,0,0,0,0,0.5
"A Choudhary","JP Faulkner",0,1,0,0,0,0
"A Choudhary","MM Sharma",0.5,0.5,0,0,0,0
"A Flintoff","A Nehra",0.5,0.25,0.25,0,0,0
"A Flintoff","DJ Bravo",0.571428571428571,0,0,0.142857142857143,0.142857142857143,0.142857142857143
"A Flintoff","DL Vettori",0.5,0.333333333333333,0.166666666666667,0,0,0
"A Flintoff","DP Nannes",1,0,0,0,0,0
"A Flintoff","DW Steyn",0.25,0.5,0,0,0.125,0.125
"A Flintoff","Harbhajan Singh",0.6,0.4,0,0,0,0
"A Flintoff","KP Pietersen",0.25,0.5,0,0,0.25,0
"A Flintoff","MK Tiwary",0,1,0,0,0,0
"A Flintoff","P Kumar",0,1,0,0,0,0
"A Flintoff","PJ Sangwan",0.25,0.5,0,0,0.25,0
"A Flintoff","RR Raje",0,1,0,0,0,0
"A Flintoff","SL Malinga",1,0,0,0,0,0
"A Flintoff","ST Jayasuriya",0,0.75,0,0,0.25,0
"A Flintoff","Z Khan",0.75,0.25,0,0,0,0
"A Kumble","A Flintoff",0.5,0.5,0,0,0,0
"A Kumble","A Mishra",0,1,0,0,0,0
"A Kumble","AB McDonald",0,1,0,0,0,0
"A Kumble","CRD Fernando",0.666666666666667,0.333333333333333,0,0,0,0
"A Kumble","DJ Bravo",0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
"A Kumble","Harbhajan Singh",0.5,0.5,0,0,0,0
"A Kumble","Harmeet Singh",0.5,0.5,0,0,0,0
"A Kumble","IK Pathan",0.5,0.333333333333333,0,0,0.166666666666667,0
"A Kumble","JA Morkel",0,0,1,0,0,0
"A Kumble","M Muralitharan",1,0,0,0,0,0
"A Kumble","PP Chawla",0.75,0.25,0,0,0,0
"A Kumble","R McLaren",0.666666666666667,0.333333333333333,0,0,0,0
"A Kumble","RA Jadeja",0.333333333333333,0.666666666666667,0,0,0,0
"A Kumble","RJ Harris",0.5,0.5,0,0,0,0
"A Kumble","RP Singh",0,1,0,0,0,0
"A Kumble","SK Warne",0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
"A Kumble","SL Malinga",0,1,0,0,0,0
"A Kumble","Sohail Tanvir",0.5,0.5,0,0,0,0
"A Kumble","VRV Singh",0.333333333333333,0.666666666666667,0,0,0,0
"A Kumble","YA Abdulla",1,0,0,0,0,0
"A Mishra","A Nehra",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"A Mishra","A Singh",0,1,0,0,0,0
"A Mishra","A Symonds",1,0,0,0,0,0
"A Mishra","AB Agarkar",0.4,0.6,0,0,0,0
"A Mishra","AB Dinda",0.266666666666667,0.533333333333333,0.0666666666666667,0,0.133333333333333,0
"A Mishra","AD Mathews",0.25,0.75,0,0,0,0
"A Mishra","AG Murtaza",0,1,0,0,0,0
"A Mishra","AN Ahmed",0.25,0.75,0,0,0,0
"A Mishra","Azhar Mahmood",0,0.75,0,0,0.25,0
"A Mishra","B Lee",0,1,0,0,0,0
"A Mishra","BA Stokes",0.6,0.4,0,0,0,0
"A Mishra","Basil Thampi",0,0,0,0,1,0
"A Mishra","CH Morris",0.6,0.2,0.2,0,0,0
"A Mishra","CRD Fernando",0.25,0.75,0,0,0,0
"A Mishra","D Wiese",0,1,0,0,0,0
"A Mishra","DE Bollinger",0.8,0,0.2,0,0,0
"A Mishra","DJ Bravo",0,1,0,0,0,0
"A Mishra","DS Kulkarni",0.5,0.5,0,0,0,0
"A Mishra","GB Hogg",0.833333333333333,0.166666666666667,0,0,0,0
"A Mishra","Harbhajan Singh",0.230769230769231,0.692307692307692,0,0,0.0769230769230769,0
"A Mishra","Harmeet Singh",1,0,0,0,0,0
"A Mishra","HH Pandya",0,1,0,0,0,0
"A Mishra","I Sharma",0.666666666666667,0.333333333333333,0,0,0,0
"A Mishra","IK Pathan",0.285714285714286,0.428571428571429,0.285714285714286,0,0,0
"A Mishra","Iqbal Abdulla",0.222222222222222,0.555555555555556,0,0,0.222222222222222,0
"A Mishra","J Theron",0.25,0.75,0,0,0,0
"A Mishra","JA Morkel",0.5,0.5,0,0,0,0
"A Mishra","JD Unadkat",0.125,0.5,0.125,0,0,0.25
"A Mishra","JH Kallis",0.375,0.375,0.25,0,0,0
"A Mishra","JJ Bumrah",1,0,0,0,0,0
"A Mishra","JO Holder",0.6,0.1,0.1,0,0.2,0
"A Mishra","JP Duminy",0,0,0.333333333333333,0,0.333333333333333,0.333333333333333
"A Mishra","JP Faulkner",1,0,0,0,0,0
"A Mishra","KA Pollard",0.6,0.4,0,0,0,0
"A Mishra","Kamran Khan",1,0,0,0,0,0
"A Mishra","KK Cooper",0.625,0.375,0,0,0,0
"A Mishra","KV Sharma",0.6,0.3,0.1,0,0,0
"A Mishra","L Ablish",0.25,0.75,0,0,0,0
"A Mishra","L Balaji",0.428571428571429,0.214285714285714,0.0714285714285714,0,0.214285714285714,0.0714285714285714
"A Mishra","LR Shukla",1,0,0,0,0,0
"A Mishra","M Morkel",0.363636363636364,0.363636363636364,0.181818181818182,0,0.0909090909090909,0
"A Mishra","MA Starc",0.666666666666667,0.333333333333333,0,0,0,0
"A Mishra","MG Johnson",0.5,0.5,0,0,0,0
"A Mishra","MJ McClenaghan",1,0,0,0,0,0
"A Mishra","MM Patel",0.352941176470588,0.235294117647059,0,0,0.411764705882353,0
"A Mishra","MM Sharma",1,0,0,0,0,0
"A Mishra","MR Marsh",0.375,0.5,0,0,0.125,0
"A Mishra","NLTC Perera",1,0,0,0,0,0
"A Mishra","P Awana",0,1,0,0,0,0
"A Mishra","P Negi",0.333333333333333,0.5,0,0,0,0.166666666666667
"A Mishra","PC Valthaty",1,0,0,0,0,0
"A Mishra","PP Chawla",0.25,0.75,0,0,0,0
"A Mishra","PP Ojha",0.666666666666667,0.333333333333333,0,0,0,0
"A Mishra","R Ashwin",0.583333333333333,0.416666666666667,0,0,0,0
"A Mishra","R Bhatia",0,1,0,0,0,0
"A Mishra","R Dhawan",0,1,0,0,0,0
"A Mishra","R Sharma",0.166666666666667,0.833333333333333,0,0,0,0
"A Mishra","R Vinay Kumar",0.5,0.5,0,0,0,0
"A Mishra","RA Jadeja",0,1,0,0,0,0
"A Mishra","RP Singh",0.333333333333333,0.666666666666667,0,0,0,0
"A Mishra","Sandeep Sharma",0.6,0.4,0,0,0,0
"A Mishra","SC Ganguly",0.333333333333333,0.533333333333333,0.0666666666666667,0,0.0666666666666667,0
"A Mishra","SK Trivedi",0.529411764705882,0.235294117647059,0.176470588235294,0,0.0588235294117647,0
"A Mishra","SK Warne",0.5,0.5,0,0,0,0
"A Mishra","SL Malinga",0.727272727272727,0.272727272727273,0,0,0,0
"A Mishra","SP Narine",0,1,0,0,0,0
"A Mishra","SR Watson",0.666666666666667,0.25,0,0,0.0833333333333333,0
"A Mishra","ST Jayasuriya",0,1,0,0,0,0
"A Mishra","STR Binny",0.714285714285714,0.285714285714286,0,0,0,0
"A Mishra","TG Southee",0.5,0.5,0,0,0,0
"A Mishra","TS Mills",0.25,0.5,0.25,0,0,0
"A Mishra","UT Yadav",0.4,0.4,0,0,0.2,0
"A Mishra","VR Aaron",0.666666666666667,0.333333333333333,0,0,0,0
"A Mishra","WPUJC Vaas",1,0,0,0,0,0
"A Mithun","A Mishra",1,0,0,0,0,0
"A Mithun","DJ Bravo",1,0,0,0,0,0
"A Mithun","DL Vettori",0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
"A Mithun","M Morkel",1,0,0,0,0,0
"A Mithun","PC Valthaty",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"A Mithun","PP Chawla",0,1,0,0,0,0
"A Mithun","R Ashwin",0,1,0,0,0,0
"A Mithun","RJ Harris",0.333333333333333,0.333333333333333,0,0,0.166666666666667,0.166666666666667
"A Mithun","SK Raina",0.25,0.25,0,0,0.5,0
"A Mithun","SP Narine",0.5,0,0.5,0,0,0
"A Mukund","A Chandila",0,0.75,0.25,0,0,0
"A Mukund","JP Faulkner",0.571428571428571,0.428571428571429,0,0,0,0
"A Mukund","S Sreesanth",0,1,0,0,0,0
"A Mukund","SK Trivedi",0.666666666666667,0.333333333333333,0,0,0,0
"A Mukund","Sohail Tanvir",1,0,0,0,0,0
"A Mukund","SR Watson",0.285714285714286,0.428571428571429,0.142857142857143,0,0.142857142857143,0
"A Nehra","AD Mascarenhas",0.333333333333333,0.666666666666667,0,0,0,0
"A Nehra","AD Russell",0.666666666666667,0.333333333333333,0,0,0,0
"A Nehra","DJ Bravo",1,0,0,0,0,0
"A Nehra","GB Hogg",1,0,0,0,0,0
"A Nehra","Harmeet Singh",0.333333333333333,0.5,0,0,0.166666666666667,0
"A Nehra","IK Pathan",0.888888888888889,0.111111111111111,0,0,0,0
"A Nehra","J Theron",0.5,0.5,0,0,0,0
"A Nehra","Joginder Sharma",0.5,0.5,0,0,0,0
"A Nehra","KA Pollard",1,0,0,0,0,0
"A Nehra","MA Starc",1,0,0,0,0,0
"A Nehra","MG Johnson",0.5,0.5,0,0,0,0
"A Nehra","MR Marsh",0.5,0.25,0,0,0.25,0
"A Nehra","NLTC Perera",1,0,0,0,0,0
"A Nehra","NM Coulter-Nile",0,1,0,0,0,0
"A Nehra","P Awana",1,0,0,0,0,0
"A Nehra","R Sharma",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333
"A Nehra","S Sreesanth",0.666666666666667,0.333333333333333,0,0,0,0
"A Nehra","SL Malinga",1,0,0,0,0,0
"A Nehra","SP Narine",1,0,0,0,0,0
"A Nehra","STR Binny",0.25,0.25,0.25,0,0.25,0
"A Nehra","SW Tait",0.5,0.5,0,0,0,0
"A Nehra","VRV Singh",0.5,0.5,0,0,0,0
"A Nehra","WPUJC Vaas",0,1,0,0,0,0
"A Singh","A Mishra",1,0,0,0,0,0
"A Singh","AB Agarkar",0.5,0.5,0,0,0,0
"A Singh","DE Bollinger",0,1,0,0,0,0
"A Singh","KA Pollard",1,0,0,0,0,0
"A Singh","Shakib Al Hasan",1,0,0,0,0,0
"A Singh","SK Raina",1,0,0,0,0,0
"A Symonds","A Kumble",0.384615384615385,0.384615384615385,0.153846153846154,0,0.0769230769230769,0
"A Symonds","A Mishra",0.404761904761905,0.285714285714286,0.166666666666667,0,0.0238095238095238,0.119047619047619
"A Symonds","A Nehra",0,1,0,0,0,0
"A Symonds","AB Agarkar",0.15,0.65,0.1,0,0.05,0.05
"A Symonds","AB Dinda",1,0,0,0,0,0
"A Symonds","AC Thomas",0.5,0.5,0,0,0,0
"A Symonds","AD Mathews",0.375,0.375,0.25,0,0,0
"A Symonds","AL Menaria",0,1,0,0,0,0
"A Symonds","Anand Rajan",0.5,0.5,0,0,0,0
"A Symonds","AP Dole",0.4,0.6,0,0,0,0
"A Symonds","B Akhil",0,1,0,0,0,0
"A Symonds","B Lee",0.444444444444444,0.444444444444444,0.111111111111111,0,0,0
"A Symonds","BA Bhatt",0.5,0.5,0,0,0,0
"A Symonds","Bipul Sharma",0.333333333333333,0.333333333333333,0.111111111111111,0.111111111111111,0,0.111111111111111
"A Symonds","BJ Hodge",0.5,0.5,0,0,0,0
"A Symonds","CH Gayle",0.5,0.5,0,0,0,0
"A Symonds","CK Langeveldt",0.666666666666667,0.333333333333333,0,0,0,0
"A Symonds","D Salunkhe",0,0.5,0,0,0,0.5
"A Symonds","DE Bollinger",0.444444444444444,0.444444444444444,0,0,0.111111111111111,0
"A Symonds","DJ Bravo",0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
"A Symonds","DJ Hussey",0.4,0.3,0,0,0.1,0.2
"A Symonds","DP Nannes",0.142857142857143,0.428571428571429,0.142857142857143,0,0.285714285714286,0
"A Symonds","DT Christian",0.416666666666667,0.416666666666667,0.0833333333333333,0,0.0833333333333333,0
"A Symonds","DW Steyn",0.333333333333333,0.333333333333333,0.125,0,0.166666666666667,0.0416666666666667
"A Symonds","GD McGrath",0.6,0,0,0,0.4,0
"A Symonds","I Sharma",0.4375,0.4375,0.0625,0,0.0625,0
"A Symonds","IK Pathan",0.363636363636364,0.363636363636364,0.0909090909090909,0,0.0909090909090909,0.0909090909090909
"A Symonds","J Botha",0.666666666666667,0.333333333333333,0,0,0,0
"A Symonds","J Theron",0.666666666666667,0.333333333333333,0,0,0,0
"A Symonds","JA Morkel",0.388888888888889,0.333333333333333,0.111111111111111,0,0.111111111111111,0.0555555555555556
"A Symonds","JE Taylor",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"A Symonds","JH Kallis",0.294117647058824,0.411764705882353,0,0,0.235294117647059,0.0588235294117647
"A Symonds","JM Kemp",0.833333333333333,0.166666666666667,0,0,0,0
"A Symonds","Joginder Sharma",0,0.5,0,0,0,0.5
"A Symonds","JR Hopes",0,1,0,0,0,0
"A Symonds","KA Pollard",0.333333333333333,0.5,0.166666666666667,0,0,0
"A Symonds","KP Appanna",0,0.8,0,0,0.2,0
"A Symonds","L Balaji",0.384615384615385,0.384615384615385,0,0,0.0769230769230769,0.153846153846154
"A Symonds","M Kartik",0.409090909090909,0.454545454545455,0.0909090909090909,0,0.0454545454545455,0
"A Symonds","M Morkel",0.571428571428571,0.285714285714286,0,0,0.142857142857143,0
"A Symonds","M Muralitharan",0.666666666666667,0.333333333333333,0,0,0,0
"A Symonds","Mashrafe Mortaza",1,0,0,0,0,0
"A Symonds","MB Parmar",0.222222222222222,0.444444444444444,0,0,0.333333333333333,0
"A Symonds","MC Henriques",0.5,0.5,0,0,0,0
"A Symonds","MF Maharoof",0.5,0.5,0,0,0,0
"A Symonds","MM Patel",0.363636363636364,0.181818181818182,0,0.0909090909090909,0.363636363636364,0
"A Symonds","Mohammad Asif",0.8,0,0.2,0,0,0
"A Symonds","Mohammad Hafeez",0.769230769230769,0.230769230769231,0,0,0,0
"A Symonds","P Kumar",0.466666666666667,0.266666666666667,0.0666666666666667,0,0.133333333333333,0.0666666666666667
"A Symonds","Pankaj Singh",0.333333333333333,0.666666666666667,0,0,0,0
"A Symonds","PD Collingwood",0.25,0.375,0.125,0,0.125,0.125
"A Symonds","PJ Sangwan",0.4,0.4,0,0,0.2,0
"A Symonds","PP Chawla",0.24,0.44,0.24,0,0,0.08
"A Symonds","PP Ojha",0.625,0.375,0,0,0,0
"A Symonds","R Ashwin",0.375,0.4375,0.0625,0,0.0625,0.0625
"A Symonds","R Bhatia",1,0,0,0,0,0
"A Symonds","R McLaren",0.5,0.125,0.25,0,0.125,0
"A Symonds","R Sharma",0,1,0,0,0,0
"A Symonds","R Vinay Kumar",0.272727272727273,0.363636363636364,0.0909090909090909,0,0.181818181818182,0.0909090909090909
"A Symonds","RA Jadeja",0.444444444444444,0.333333333333333,0.111111111111111,0,0.111111111111111,0
"A Symonds","RE van der Merwe",0.583333333333333,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0.0833333333333333
"A Symonds","RJ Harris",0,1,0,0,0,0
"A Symonds","RR Powar",0.555555555555556,0.111111111111111,0.222222222222222,0,0.111111111111111,0
"A Symonds","S Ladda",0.4,0.4,0,0,0,0.2
"A Symonds","S Narwal",0.333333333333333,0.166666666666667,0,0,0.5,0
"A Symonds","S Randiv",0.625,0.125,0.125,0,0.125,0
"A Symonds","S Sreesanth",0.166666666666667,0.25,0.0833333333333333,0,0.25,0.25
"A Symonds","SB Jakati",0.4,0.2,0.2,0,0.1,0.1
"A Symonds","SE Bond",0.625,0.125,0.125,0,0.125,0
"A Symonds","SJ Srivastava",0.428571428571429,0.428571428571429,0,0,0.142857142857143,0
"A Symonds","SK Raina",0.5,0.5,0,0,0,0
"A Symonds","SK Trivedi",0.142857142857143,0.476190476190476,0.0476190476190476,0.0476190476190476,0.19047619047619,0.0952380952380952
"A Symonds","SK Warne",0.236842105263158,0.421052631578947,0.131578947368421,0.0263157894736842,0.0789473684210526,0.105263157894737
"A Symonds","SL Malinga",1,0,0,0,0,0
"A Symonds","SR Watson",0.625,0.25,0,0,0.125,0
"A Symonds","SW Tait",0.666666666666667,0.333333333333333,0,0,0,0
"A Symonds","T Thushara",0.666666666666667,0.333333333333333,0,0,0,0
"A Symonds","TM Dilshan",0.4,0.2,0,0,0,0.4
"A Symonds","UT Yadav",0.416666666666667,0.416666666666667,0,0,0.166666666666667,0
"A Symonds","V Kohli",0.375,0.375,0.125,0,0,0.125
"A Symonds","VY Mahesh",0,1,0,0,0,0
"A Symonds","WA Mota",0.333333333333333,0.416666666666667,0.25,0,0,0
"A Symonds","WD Parnell",0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
"A Symonds","Y Nagar",0.166666666666667,0.333333333333333,0,0,0.333333333333333,0.166666666666667
"A Symonds","YK Pathan",0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
"A Symonds","Yuvraj Singh",0.4,0.466666666666667,0.133333333333333,0,0,0
"A Symonds","Z Khan",0,1,0,0,0,0
"A Uniyal","DP Nannes",0,1,0,0,0,0
"A Uniyal","S Ladda",0.666666666666667,0.333333333333333,0,0,0,0
"A Uniyal","SL Malinga",1,0,0,0,0,0
"A Zampa","A Mishra",0.666666666666667,0.166666666666667,0,0,0.166666666666667,0
"A Zampa","A Nehra",1,0,0,0,0,0
"A Zampa","Z Khan",1,0,0,0,0,0
"AA Bilakhia","A Kumble",0,0.666666666666667,0,0,0.333333333333333,0
"AA Bilakhia","A Mishra",0.454545454545455,0.454545454545455,0.0909090909090909,0,0,0
"AA Bilakhia","A Nehra",0.538461538461538,0.153846153846154,0.230769230769231,0,0.0769230769230769,0
"AA Bilakhia","DL Vettori",0.833333333333333,0.166666666666667,0,0,0,0
"AA Bilakhia","DP Nannes",0.714285714285714,0,0.142857142857143,0,0.142857142857143,0
"AA Bilakhia","JA Morkel",0.285714285714286,0.571428571428571,0.142857142857143,0,0,0
"AA Bilakhia","JDP Oram",0.5,0.5,0,0,0,0
"AA Bilakhia","L Balaji",0,0,0,0,1,0
"AA Bilakhia","M Muralitharan",0.75,0.25,0,0,0,0
"AA Bilakhia","P Kumar",0.125,0.5,0.25,0,0.125,0
"AA Bilakhia","PJ Sangwan",0.6,0.4,0,0,0,0
"AA Bilakhia","R Vinay Kumar",0.4,0.4,0.2,0,0,0
"AA Bilakhia","SK Warne",0.666666666666667,0.333333333333333,0,0,0,0
"AA Bilakhia","SM Harwood",1,0,0,0,0,0
"AA Bilakhia","SR Watson",0,1,0,0,0,0
"AA Bilakhia","TM Dilshan",0.5,0.5,0,0,0,0
"AA Bilakhia","V Sehwag",0,1,0,0,0,0
"AA Bilakhia","YK Pathan",0.75,0.25,0,0,0,0
"AA Chavan","BJ Hodge",0.666666666666667,0.333333333333333,0,0,0,0
"AA Chavan","KA Pollard",1,0,0,0,0,0
"AA Chavan","M Morkel",0.5,0.25,0,0,0.25,0
"AA Chavan","MM Patel",0,0,0,0,1,0
"AA Chavan","UT Yadav",0,1,0,0,0,0
"AA Jhunjhunwala","A Kumble",0.571428571428571,0.428571428571429,0,0,0,0
"AA Jhunjhunwala","A Mishra",0.3,0.5,0.2,0,0,0
"AA Jhunjhunwala","A Symonds",1,0,0,0,0,0
"AA Jhunjhunwala","AB Dinda",0.25,0.75,0,0,0,0
"AA Jhunjhunwala","AB McDonald",0.5,0.5,0,0,0,0
"AA Jhunjhunwala","AD Mathews",0,0.833333333333333,0,0,0.166666666666667,0
"AA Jhunjhunwala","AG Murtaza",0.333333333333333,0.333333333333333,0,0,0.166666666666667,0.166666666666667
"AA Jhunjhunwala","Azhar Mahmood",0.333333333333333,0.666666666666667,0,0,0,0
"AA Jhunjhunwala","BJ Hodge",0,0.75,0,0,0.25,0
"AA Jhunjhunwala","BW Hilfenhaus",0,1,0,0,0,0
"AA Jhunjhunwala","DE Bollinger",0.5,0.5,0,0,0,0
"AA Jhunjhunwala","DP Nannes",0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
"AA Jhunjhunwala","DS Kulkarni",0.461538461538462,0.307692307692308,0,0,0.153846153846154,0.0769230769230769
"AA Jhunjhunwala","DW Steyn",1,0,0,0,0,0
"AA Jhunjhunwala","Harbhajan Singh",0.285714285714286,0.714285714285714,0,0,0,0
"AA Jhunjhunwala","Harmeet Singh",1,0,0,0,0,0
"AA Jhunjhunwala","I Sharma",1,0,0,0,0,0
"AA Jhunjhunwala","JA Morkel",0,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"AA Jhunjhunwala","JH Kallis",0.666666666666667,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0
"AA Jhunjhunwala","KA Pollard",1,0,0,0,0,0
"AA Jhunjhunwala","M Kartik",0.352941176470588,0.411764705882353,0.117647058823529,0,0.117647058823529,0
"AA Jhunjhunwala","M Morkel",1,0,0,0,0,0
"AA Jhunjhunwala","M Muralitharan",0.5,0,0,0,0,0.5
"AA Jhunjhunwala","MF Maharoof",0.25,0.25,0.5,0,0,0
"AA Jhunjhunwala","MM Patel",1,0,0,0,0,0
"AA Jhunjhunwala","P Awana",0.333333333333333,0.666666666666667,0,0,0,0
"AA Jhunjhunwala","P Kumar",0.8,0.2,0,0,0,0
"AA Jhunjhunwala","Pankaj Singh",0.5,0.25,0,0,0.25,0
"AA Jhunjhunwala","PJ Sangwan",0.571428571428571,0.357142857142857,0,0,0.0714285714285714,0
"AA Jhunjhunwala","PP Chawla",0.333333333333333,0.5,0,0.166666666666667,0,0
"AA Jhunjhunwala","PP Ojha",0,0.5,0.5,0,0,0
"AA Jhunjhunwala","R McLaren",1,0,0,0,0,0
"AA Jhunjhunwala","R Sathish",0.333333333333333,0.666666666666667,0,0,0,0
"AA Jhunjhunwala","R Vinay Kumar",0.8,0.2,0,0,0,0
"AA Jhunjhunwala","RJ Harris",0.5,0,0,0,0.5,0
"AA Jhunjhunwala","RP Singh",0,0.666666666666667,0.333333333333333,0,0,0
"AA Jhunjhunwala","RR Powar",0,0.666666666666667,0,0,0,0.333333333333333
"AA Jhunjhunwala","S Ladda",0.466666666666667,0.4,0,0,0.0666666666666667,0.0666666666666667
"AA Jhunjhunwala","SE Bond",0.2,0.6,0,0,0.2,0
"AA Jhunjhunwala","SJ Srivastava",1,0,0,0,0,0
"AA Jhunjhunwala","SL Malinga",0.833333333333333,0.166666666666667,0,0,0,0
"AA Jhunjhunwala","ST Jayasuriya",0.142857142857143,0.571428571428571,0.285714285714286,0,0,0
"AA Jhunjhunwala","T Thushara",0.666666666666667,0,0,0,0.333333333333333,0
"AA Jhunjhunwala","UT Yadav",0.75,0,0,0,0.25,0
"AA Noffke","AB Agarkar",0.75,0.25,0,0,0,0
"AA Noffke","SC Ganguly",0,0.75,0,0,0.25,0
"AB Agarkar","A Mishra",0.875,0.125,0,0,0,0
"AB Agarkar","A Nehra",0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"AB Agarkar","A Singh",0,0.5,0.5,0,0,0
"AB Agarkar","AB McDonald",0,1,0,0,0,0
